,c_name,d_name,cdr_hat,cdr_all,cluster,c_cluster,d_cluster
37,c0_36,d1_8,0.107579,0.068353 & 0.146805,0 & 2,0,2
38,c0_36,d1_9,0.0985575,0.052231 & 0.144884,0 & 2,0,2
39,c0_36,d1_10,0.24605649999999998,0.142638 & 0.349475,0 & 2,0,2
40,c0_36,d2_1,0.138455,0.086717 & 0.190193,0 & 1,0,1
41,c0_36,d2_2,0.0876555,0.09875 & 0.076561,0 & 1,0,1
42,c0_36,d2_3,0.0065385,0.005927 & 0.00715,0 & 1,0,1
43,c0_36,d2_4,0.0373395,0.017793 & 0.056886,0 & 1,0,1
44,c0_36,d2_5,0.0222485,0.016598 & 0.027899,0 & 1,0,1
45,c0_36,d2_6,0.07631,0.101339 & 0.051281,0 & 1,0,1
46,c0_36,d2_7,0.18668400000000002,0.12169 & 0.251678,0 & 1,0,1
47,c0_36,d2_8,0.0882315,0.049487 & 0.126976,0 & 1,0,1
48,c0_36,d2_9,0.0624845,0.013457 & 0.111512,0 & 1,0,1
49,c0_36,d2_10,0.023334,0.027626 & 0.019042,0 & 1,0,1
50,c0_36,d0_1,0.93476,0.93476,0,0,0
51,c0_36,d0_2,0.979697,0.979697,0,0,0
52,c0_36,d0_3,0.827451,0.827451,0,0,0
53,c0_36,d0_4,0.873117,0.873117,0,0,0
54,c0_36,d0_5,0.890593,0.890593,0,0,0
55,c0_36,d0_6,0.941554,0.941554,0,0,0
56,c0_36,d0_7,0.906135,0.906135,0,0,0
57,c0_36,d0_8,0.930582,0.930582,0,0,0
58,c0_36,d0_9,0.804222,0.804222,0,0,0
59,c0_36,d0_10,0.935469,0.935469,0,0,0
60,c2_2,d1_1,0.23989999999999997,0.479799 & 1e-06,1 & 2,1,2
61,c2_2,d1_2,0.34913150000000004,0.697907 & 0.000356,1 & 2,1,2
62,c2_2,d1_3,0.233964,0.466437 & 0.001491,1 & 2,1,2
63,c2_2,d1_4,0.194938,0.389875 & 1e-06,1 & 2,1,2
64,c2_2,d1_5,0.155939,0.311865 & 1.3e-05,1 & 2,1,2
65,c2_2,d1_6,0.37257049999999997,0.745134 & 7e-06,1 & 2,1,2
66,c2_2,d1_7,0.0281505,0.056301 & 0.0,1 & 2,1,2
67,c2_2,d1_8,0.176253,0.352506 & 0.0,1 & 2,1,2
68,c2_2,d1_9,0.28612950000000004,0.572223 & 3.6e-05,1 & 2,1,2
69,c2_2,d1_10,0.1590665,0.318131 & 2e-06,1 & 2,1,2
70,c2_2,d2_1,0.995712,0.995712,1,1,1
71,c2_2,d2_2,0.998469,0.998469,1,1,1
72,c2_2,d2_3,0.988064,0.988064,1,1,1
73,c2_2,d2_4,0.996536,0.996536,1,1,1
74,c2_2,d2_5,0.986624,0.986624,1,1,1
75,c2_2,d2_6,0.999702,0.999702,1,1,1
76,c2_2,d2_7,0.999763,0.999763,1,1,1
77,c2_2,d2_8,0.994784,0.994784,1,1,1
78,c2_2,d2_9,0.99637,0.99637,1,1,1
79,c2_2,d2_10,0.996446,0.996446,1,1,1
80,c2_2,d0_1,0.0718155,0.037815 & 0.105816,0 & 1,1,0
81,c2_2,d0_2,0.116963,0.05397 & 0.179956,0 & 1,1,0
82,c2_2,d0_3,0.1119135,0.03233 & 0.191497,0 & 1,1,0
83,c2_2,d0_4,0.1144885,0.041553 & 0.187424,0 & 1,1,0
84,c2_2,d0_5,0.1065985,0.048512 & 0.164685,0 & 1,1,0
85,c2_2,d0_6,0.0725185,0.040296 & 0.104741,0 & 1,1,0
86,c2_2,d0_7,0.12666349999999998,0.06597 & 0.187357,0 & 1,1,0
87,c2_2,d0_8,0.08951500000000001,0.029128 & 0.149902,0 & 1,1,0
88,c2_2,d0_9,0.069949,0.017453 & 0.122445,0 & 1,1,0
89,c2_2,d0_10,0.063002,0.065052 & 0.060952,0 & 1,1,0
90,c0_29,d1_1,0.0013385,0.002677 & 0.0,0 & 2,0,2
91,c0_29,d1_2,0.0013485,0.002625 & 7.2e-05,0 & 2,0,2
92,c0_29,d1_3,0.0015335,0.003061 & 6e-06,0 & 2,0,2
93,c0_29,d1_4,0.00040750000000000004,0.000814 & 1e-06,0 & 2,0,2
94,c0_29,d1_5,5.1e-05,9.8e-05 & 4e-06,0 & 2,0,2
95,c0_29,d1_6,0.0038610000000000003,0.007714 & 8e-06,0 & 2,0,2
96,c0_29,d1_7,0.0016665,0.003333 & 0.0,0 & 2,0,2
97,c0_29,d1_8,0.007142,0.014279 & 5e-06,0 & 2,0,2
98,c0_29,d1_9,0.0037815,0.007563 & 0.0,0 & 2,0,2
99,c0_29,d1_10,0.0097215,0.019443 & 0.0,0 & 2,0,2
100,c0_29,d2_1,0.005895999999999999,0.011758 & 3.4e-05,0 & 1,0,1
101,c0_29,d2_2,0.0067345,0.013426 & 4.3e-05,0 & 1,0,1
102,c0_29,d2_3,0.00031150000000000004,0.000622 & 1e-06,0 & 1,0,1
103,c0_29,d2_4,0.000896,0.00178 & 1.2e-05,0 & 1,0,1
104,c0_29,d2_5,0.0012425,0.00245 & 3.5e-05,0 & 1,0,1
105,c0_29,d2_6,0.0055225,0.010981 & 6.4e-05,0 & 1,0,1
106,c0_29,d2_7,0.0079205,0.01584 & 1e-06,0 & 1,0,1
107,c0_29,d2_8,0.002556,0.0051 & 1.2e-05,0 & 1,0,1
108,c0_29,d2_9,0.000681,0.001341 & 2.1e-05,0 & 1,0,1
109,c0_29,d2_10,0.0014405,0.002789 & 9.2e-05,0 & 1,0,1
110,c0_29,d0_1,0.999703,0.999703,0,0,0
111,c0_29,d0_2,0.999908,0.999908,0,0,0
112,c0_29,d0_3,0.998825,0.998825,0,0,0
113,c0_29,d0_4,0.999094,0.999094,0,0,0
114,c0_29,d0_5,0.999396,0.999396,0,0,0
115,c0_29,d0_6,0.999736,0.999736,0,0,0
116,c0_29,d0_7,0.999209,0.999209,0,0,0
117,c0_29,d0_8,0.999683,0.999683,0,0,0
118,c0_29,d0_9,0.998965,0.998965,0,0,0
119,c0_29,d0_10,0.999581,0.999581,0,0,0
120,c0_61,d1_1,0.0055695,0.010574 & 0.000565,0 & 2,0,2
121,c0_61,d1_2,0.0247075,0.010692 & 0.038723,0 & 2,0,2
122,c0_61,d1_3,0.0069595,0.010531 & 0.003388,0 & 2,0,2
123,c0_61,d1_4,0.0014225,0.002734 & 0.000111,0 & 2,0,2
124,c0_61,d1_5,0.0016725000000000002,0.000331 & 0.003014,0 & 2,0,2
125,c0_61,d1_6,0.0155865,0.027832 & 0.003341,0 & 2,0,2
126,c0_61,d1_7,0.0063419999999999995,0.01258 & 0.000104,0 & 2,0,2
127,c0_61,d1_8,0.0248865,0.048679 & 0.001094,0 & 2,0,2
128,c0_61,d1_9,0.014713,0.026671 & 0.002755,0 & 2,0,2
129,c0_61,d1_10,0.0322265,0.064355 & 9.8e-05,0 & 2,0,2
130,c0_61,d2_1,0.1223545,0.040496 & 0.204213,0 & 1,0,1
131,c0_61,d2_2,0.0627395,0.042415 & 0.083064,0 & 1,0,1
132,c0_61,d2_3,0.0051775,0.002548 & 0.007807,0 & 1,0,1
133,c0_61,d2_4,0.034549500000000004,0.00727 & 0.061829,0 & 1,0,1
134,c0_61,d2_5,0.0201935,0.009982 & 0.030405,0 & 1,0,1
135,c0_61,d2_6,0.049682500000000004,0.043599 & 0.055766,0 & 1,0,1
136,c0_61,d2_7,0.155741,0.053124 & 0.258358,0 & 1,0,1
137,c0_61,d2_8,0.078869,0.020613 & 0.137125,0 & 1,0,1
138,c0_61,d2_9,0.0630405,0.005484 & 0.120597,0 & 1,0,1
139,c0_61,d2_10,0.016062,0.011355 & 0.020769,0 & 1,0,1
140,c0_61,d0_1,0.996548,0.996548,0,0,0
141,c0_61,d0_2,0.998973,0.998973,0,0,0
142,c0_61,d0_3,0.988876,0.988876,0,0,0
143,c0_61,d0_4,0.991407,0.991407,0,0,0
144,c0_61,d0_5,0.99394,0.99394,0,0,0
145,c0_61,d0_6,0.996929,0.996929,0,0,0
146,c0_61,d0_7,0.992488,0.992488,0,0,0
147,c0_61,d0_8,0.996311,0.996311,0,0,0
148,c0_61,d0_9,0.988062,0.988062,0,0,0
149,c0_61,d0_10,0.996009,0.996009,0,0,0
150,c1_17,d1_1,1.0,1.0,2,1 & 2,2
151,c1_17,d1_2,0.999998,0.999998,2,1 & 2,2
152,c1_17,d1_3,0.999983,0.999983,2,1 & 2,2
153,c1_17,d1_4,0.999948,0.999948,2,1 & 2,2
154,c1_17,d1_5,0.999994,0.999994,2,1 & 2,2
155,c1_17,d1_6,0.999999,0.999999,2,1 & 2,2
156,c1_17,d1_7,0.999996,0.999996,2,1 & 2,2
157,c1_17,d1_8,0.999997,0.999997,2,1 & 2,2
158,c1_17,d1_9,1.0,1.0,2,1 & 2,2
159,c1_17,d1_10,0.999997,0.999997,2,1 & 2,2
160,c1_17,d2_1,0.999962,0.999962,1,1 & 2,1
161,c1_17,d2_2,0.999999,0.999999,1,1 & 2,1
162,c1_17,d2_3,0.999999,0.999999,1,1 & 2,1
163,c1_17,d2_4,0.999674,0.999674,1,1 & 2,1
164,c1_17,d2_5,0.999997,0.999997,1,1 & 2,1
165,c1_17,d2_6,0.999968,0.999968,1,1 & 2,1
166,c1_17,d2_7,1.0,1.0,1,1 & 2,1
167,c1_17,d2_8,0.995955,0.995955,1,1 & 2,1
168,c1_17,d2_9,0.999995,0.999995,1,1 & 2,1
169,c1_17,d2_10,0.999631,0.999631,1,1 & 2,1
170,c1_17,d0_1,0.071143,0.129243 & 0.083899 & 0.000287,0 & 1 & 2,1 & 2,0
171,c1_17,d0_2,0.16059366666666666,0.149909 & 0.120097 & 0.211775,0 & 1 & 2,1 & 2,0
172,c1_17,d0_3,0.11762466666666666,0.182464 & 0.140176 & 0.030234,0 & 1 & 2,1 & 2,0
173,c1_17,d0_4,0.108815,0.197926 & 0.125461 & 0.003058,0 & 1 & 2,1 & 2,0
174,c1_17,d0_5,0.15790066666666666,0.162816 & 0.109229 & 0.201657,0 & 1 & 2,1 & 2,0
175,c1_17,d0_6,0.06683266666666667,0.129702 & 0.067831 & 0.002965,0 & 1 & 2,1 & 2,0
176,c1_17,d0_7,0.161433,0.232127 & 0.125413 & 0.126759,0 & 1 & 2,1 & 2,0
177,c1_17,d0_8,0.12458766666666667,0.099296 & 0.098835 & 0.175632,0 & 1 & 2,1 & 2,0
178,c1_17,d0_9,0.03782,0.074105 & 0.038933 & 0.000422,0 & 1 & 2,1 & 2,0
179,c1_17,d0_10,0.4456873333333334,0.193754 & 0.974492 & 0.168816,0 & 1 & 2,1 & 2,0
180,c1_19,d1_1,0.999999,0.999999,2,1 & 2,2
181,c1_19,d1_2,0.999999,0.999999,2,1 & 2,2
182,c1_19,d1_3,0.9999,0.9999,2,1 & 2,2
183,c1_19,d1_4,0.99982,0.99982,2,1 & 2,2
184,c1_19,d1_5,0.999991,0.999991,2,1 & 2,2
185,c1_19,d1_6,0.999995,0.999995,2,1 & 2,2
186,c1_19,d1_7,0.999961,0.999961,2,1 & 2,2
187,c1_19,d1_8,0.999965,0.999965,2,1 & 2,2
188,c1_19,d1_9,0.999973,0.999973,2,1 & 2,2
189,c1_19,d1_10,0.999581,0.999581,2,1 & 2,2
190,c1_19,d2_1,0.622089,0.622089,1,1 & 2,1
191,c1_19,d2_2,0.972938,0.972938,1,1 & 2,1
192,c1_19,d2_3,0.980425,0.980425,1,1 & 2,1
193,c1_19,d2_4,0.710053,0.710053,1,1 & 2,1
194,c1_19,d2_5,0.893415,0.893415,1,1 & 2,1
195,c1_19,d2_6,0.96938,0.96938,1,1 & 2,1
196,c1_19,d2_7,0.970972,0.970972,1,1 & 2,1
197,c1_19,d2_8,0.495792,0.495792,1,1 & 2,1
198,c1_19,d2_9,0.845633,0.845633,1,1 & 2,1
199,c1_19,d2_10,0.881815,0.881815,1,1 & 2,1
200,c1_19,d0_1,0.019654,0.042366 & 0.016585 & 1.1e-05,0 & 1 & 2,1 & 2,0
201,c1_19,d0_2,0.07429666666666666,0.060142 & 0.048481 & 0.114267,0 & 1 & 2,1 & 2,0
202,c1_19,d0_3,0.11405399999999999,0.043049 & 0.211635 & 0.087478,0 & 1 & 2,1 & 2,0
203,c1_19,d0_4,0.04183799999999999,0.055157 & 0.070327 & 3e-05,0 & 1 & 2,1 & 2,0
204,c1_19,d0_5,0.09567466666666667,0.054277 & 0.167994 & 0.064753,0 & 1 & 2,1 & 2,0
205,c1_19,d0_6,0.050723333333333336,0.045131 & 0.107 & 3.9e-05,0 & 1 & 2,1 & 2,0
206,c1_19,d0_7,0.06916533333333334,0.085327 & 0.055889 & 0.06628,0 & 1 & 2,1 & 2,0
207,c1_19,d0_8,0.06705733333333334,0.032669 & 0.143486 & 0.025017,0 & 1 & 2,1 & 2,0
208,c1_19,d0_9,0.009299666666666666,0.019603 & 0.008294 & 2e-06,0 & 1 & 2,1 & 2,0
209,c1_19,d0_10,0.04673666666666667,0.072633 & 0.043151 & 0.024426,0 & 1 & 2,1 & 2,0
210,c1_11,d1_1,0.99998,0.99998,2,1 & 2,2
211,c1_11,d1_2,0.99995,0.99995,2,1 & 2,2
212,c1_11,d1_3,0.995711,0.995711,2,1 & 2,2
213,c1_11,d1_4,0.999148,0.999148,2,1 & 2,2
214,c1_11,d1_5,0.999624,0.999624,2,1 & 2,2
215,c1_11,d1_6,0.999939,0.999939,2,1 & 2,2
216,c1_11,d1_7,0.999787,0.999787,2,1 & 2,2
217,c1_11,d1_8,0.999849,0.999849,2,1 & 2,2
218,c1_11,d1_9,0.999645,0.999645,2,1 & 2,2
219,c1_11,d1_10,0.996672,0.996672,2,1 & 2,2
220,c1_11,d2_1,0.989282,0.989282,1,1 & 2,1
221,c1_11,d2_2,0.999084,0.999084,1,1 & 2,1
222,c1_11,d2_3,0.999811,0.999811,1,1 & 2,1
223,c1_11,d2_4,0.697312,0.697312,1,1 & 2,1
224,c1_11,d2_5,0.99759,0.99759,1,1 & 2,1
225,c1_11,d2_6,0.728541,0.728541,1,1 & 2,1
226,c1_11,d2_7,0.999162,0.999162,1,1 & 2,1
227,c1_11,d2_8,0.495792,0.495792,1,1 & 2,1
228,c1_11,d2_9,0.996751,0.996751,1,1 & 2,1
229,c1_11,d2_10,0.507167,0.507167,1,1 & 2,1
230,c1_11,d0_1,0.03726433333333334,0.108885 & 0.00289 & 1.8e-05,0 & 1 & 2,1 & 2,0
231,c1_11,d0_2,0.07841966666666667,0.126769 & 0.008679 & 0.099811,0 & 1 & 2,1 & 2,0
232,c1_11,d0_3,0.09046900000000001,0.155217 & 0.107595 & 0.008595,0 & 1 & 2,1 & 2,0
233,c1_11,d0_4,0.06057566666666667,0.168847 & 0.012832 & 4.8e-05,0 & 1 & 2,1 & 2,0
234,c1_11,d0_5,0.078011,0.138008 & 0.039861 & 0.056164,0 & 1 & 2,1 & 2,0
235,c1_11,d0_6,0.053503999999999996,0.10928 & 0.051066 & 0.000166,0 & 1 & 2,1 & 2,0
236,c1_11,d0_7,0.118717,0.199271 & 0.01007 & 0.14681,0 & 1 & 2,1 & 2,0
237,c1_11,d0_8,0.044829,0.083204 & 0.029706 & 0.021577,0 & 1 & 2,1 & 2,0
238,c1_11,d0_9,0.02075633333333333,0.060825 & 0.001435 & 9e-06,0 & 1 & 2,1 & 2,0
239,c1_11,d0_10,0.16575499999999999,0.165162 & 0.311038 & 0.021065,0 & 1 & 2,1 & 2,0
240,c0_50,d1_1,0.018894,0.037788 & 0.0,0 & 2,0,2
241,c0_50,d1_2,0.0227545,0.045256 & 0.000253,0 & 2,0,2
242,c0_50,d1_3,0.0244025,0.048793 & 1.2e-05,0 & 2,0,2
243,c0_50,d1_4,0.0089965,0.017993 & 0.0,0 & 2,0,2
244,c0_50,d1_5,0.0015190000000000002,0.003037 & 1e-06,0 & 2,0,2
245,c0_50,d1_6,0.047625,0.095248 & 2e-06,0 & 2,0,2
246,c0_50,d1_7,0.0223615,0.044723 & 0.0,0 & 2,0,2
247,c0_50,d1_8,0.0844055,0.16881 & 1e-06,0 & 2,0,2
248,c0_50,d1_9,0.0457425,0.091485 & 0.0,0 & 2,0,2
249,c0_50,d1_10,0.0718865,0.143773 & 0.0,0 & 2,0,2
250,c0_50,d2_1,0.066158,0.132286 & 3e-05,0 & 1,0,1
251,c0_50,d2_2,0.075887,0.151743 & 3.1e-05,0 & 1,0,1
252,c0_50,d2_3,0.00469,0.009378 & 2e-06,0 & 1,0,1
253,c0_50,d2_4,0.0148925,0.029761 & 2.4e-05,0 & 1,0,1
254,c0_50,d2_5,0.023361000000000003,0.046677 & 4.5e-05,0 & 1,0,1
255,c0_50,d2_6,0.0754755,0.149068 & 0.001883,0 & 1,0,1
256,c0_50,d2_7,0.0647475,0.129495 & 0.0,0 & 1,0,1
257,c0_50,d2_8,0.038054000000000004,0.076089 & 1.9e-05,0 & 1,0,1
258,c0_50,d2_9,0.013807999999999999,0.02761 & 6e-06,0 & 1,0,1
259,c0_50,d2_10,0.027179000000000002,0.052725 & 0.001633,0 & 1,0,1
260,c0_50,d0_1,0.999731,0.999731,0,0,0
261,c0_50,d0_2,0.999905,0.999905,0,0,0
262,c0_50,d0_3,0.998794,0.998794,0,0,0
263,c0_50,d0_4,0.999071,0.999071,0,0,0
264,c0_50,d0_5,0.999381,0.999381,0,0,0
265,c0_50,d0_6,0.99976,0.99976,0,0,0
266,c0_50,d0_7,0.999189,0.999189,0,0,0
267,c0_50,d0_8,0.999776,0.999776,0,0,0
268,c0_50,d0_9,0.999268,0.999268,0,0,0
269,c0_50,d0_10,0.99957,0.99957,0,0,0
270,c2_17,d1_1,0.438959,0.659958 & 0.21796,1 & 2,1,2
271,c2_17,d1_2,0.5803255,0.820408 & 0.340243,1 & 2,1,2
272,c2_17,d1_3,0.30452450000000003,0.548197 & 0.060852,1 & 2,1,2
273,c2_17,d1_4,0.25049899999999997,0.467394 & 0.033604,1 & 2,1,2
274,c2_17,d1_5,0.39282150000000005,0.648939 & 0.136704,1 & 2,1,2
275,c2_17,d1_6,0.7337180000000001,0.947142 & 0.520294,1 & 2,1,2
276,c2_17,d1_7,0.1644825,0.279972 & 0.048993,1 & 2,1,2
277,c2_17,d1_8,0.14048650000000001,0.232628 & 0.048345,1 & 2,1,2
278,c2_17,d1_9,0.637702,0.487728 & 0.787676,1 & 2,1,2
279,c2_17,d1_10,0.3978655,0.575286 & 0.220445,1 & 2,1,2
280,c2_17,d2_1,0.664034,0.664034,1,1,1
281,c2_17,d2_2,0.903022,0.903022,1,1,1
282,c2_17,d2_3,0.807363,0.807363,1,1,1
283,c2_17,d2_4,0.828471,0.828471,1,1,1
284,c2_17,d2_5,0.722792,0.722792,1,1,1
285,c2_17,d2_6,0.984252,0.984252,1,1,1
286,c2_17,d2_7,0.875345,0.875345,1,1,1
287,c2_17,d2_8,0.574498,0.574498,1,1,1
288,c2_17,d2_9,0.688803,0.688803,1,1,1
289,c2_17,d2_10,0.908956,0.908956,1,1,1
290,c2_17,d0_1,0.07775750000000001,0.128586 & 0.026929,0 & 1,1,0
291,c2_17,d0_2,0.113161,0.149165 & 0.077157,0 & 1,1,0
292,c2_17,d0_3,0.205269,0.181593 & 0.228945,0 & 1,1,0
293,c2_17,d0_4,0.1491585,0.196999 & 0.101318,0 & 1,1,0
294,c2_17,d0_5,0.1722905,0.16202 & 0.182561,0 & 1,1,0
295,c2_17,d0_6,0.123032,0.129043 & 0.117021,0 & 1,1,0
296,c2_17,d0_7,0.15981250000000002,0.231086 & 0.088539,0 & 1,1,0
297,c2_17,d0_8,0.13263350000000002,0.098774 & 0.166493,0 & 1,1,0
298,c2_17,d0_9,0.044284000000000004,0.075031 & 0.013537,0 & 1,1,0
299,c2_17,d0_10,0.13087200000000002,0.192842 & 0.068902,0 & 1,1,0
300,c1_12,d1_1,0.999995,0.999995,2,1 & 2,2
301,c1_12,d1_2,0.999991,0.999991,2,1 & 2,2
302,c1_12,d1_3,0.997656,0.997656,2,1 & 2,2
303,c1_12,d1_4,0.999962,0.999962,2,1 & 2,2
304,c1_12,d1_5,0.999865,0.999865,2,1 & 2,2
305,c1_12,d1_6,0.999989,0.999989,2,1 & 2,2
306,c1_12,d1_7,0.999959,0.999959,2,1 & 2,2
307,c1_12,d1_8,0.999991,0.999991,2,1 & 2,2
308,c1_12,d1_9,0.999853,0.999853,2,1 & 2,2
309,c1_12,d1_10,0.999072,0.999072,2,1 & 2,2
310,c1_12,d2_1,0.988803,0.988803,1,1 & 2,1
311,c1_12,d2_2,0.999363,0.999363,1,1 & 2,1
312,c1_12,d2_3,0.999639,0.999639,1,1 & 2,1
313,c1_12,d2_4,0.7208,0.7208,1,1 & 2,1
314,c1_12,d2_5,0.997777,0.997777,1,1 & 2,1
315,c1_12,d2_6,0.958212,0.958212,1,1 & 2,1
316,c1_12,d2_7,0.998662,0.998662,1,1 & 2,1
317,c1_12,d2_8,0.495792,0.495792,1,1 & 2,1
318,c1_12,d2_9,0.996582,0.996582,1,1 & 2,1
319,c1_12,d2_10,0.826812,0.826812,1,1 & 2,1
320,c1_12,d0_1,0.0010666666666666667,0.0 & 0.003197 & 3e-06,0 & 1 & 2,1 & 2,0
321,c1_12,d0_2,0.018500333333333334,0.0 & 0.009596 & 0.045905,0 & 1 & 2,1 & 2,0
322,c1_12,d0_3,0.04289766666666667,0.0 & 0.114788 & 0.013905,0 & 1 & 2,1 & 2,0
323,c1_12,d0_4,0.004730333333333333,0.0 & 0.014181 & 1e-05,0 & 1 & 2,1 & 2,0
324,c1_12,d0_5,0.024618666666666667,0.0 & 0.048685 & 0.025171,0 & 1 & 2,1 & 2,0
325,c1_12,d0_6,0.018310999999999997,0.0 & 0.054712 & 0.000221,0 & 1 & 2,1 & 2,0
326,c1_12,d0_7,0.034114,0.0 & 0.011132 & 0.09121,0 & 1 & 2,1 & 2,0
327,c1_12,d0_8,0.015281999999999999,0.0 & 0.036367 & 0.009479,0 & 1 & 2,1 & 2,0
328,c1_12,d0_9,0.00053,0.0 & 0.001588 & 2e-06,0 & 1 & 2,1 & 2,0
329,c1_12,d0_10,0.080779,0.0 & 0.233086 & 0.009251,0 & 1 & 2,1 & 2,0
330,c0_52,d1_1,0.0024195,0.004839 & 0.0,0 & 2,0,2
331,c0_52,d1_2,0.0012355,0.002471 & 0.0,0 & 2,0,2
332,c0_52,d1_3,0.000946,0.001892 & 0.0,0 & 2,0,2
333,c0_52,d1_4,0.000244,0.000488 & 0.0,0 & 2,0,2
334,c0_52,d1_5,2.95e-05,5.9e-05 & 0.0,0 & 2,0,2
335,c0_52,d1_6,0.0063625,0.012725 & 0.0,0 & 2,0,2
336,c0_52,d1_7,0.0024215,0.004843 & 0.0,0 & 2,0,2
337,c0_52,d1_8,0.0049405,0.009881 & 0.0,0 & 2,0,2
338,c0_52,d1_9,0.0042505,0.008501 & 0.0,0 & 2,0,2
339,c0_52,d1_10,0.013065,0.02613 & 0.0,0 & 2,0,2
340,c0_52,d2_1,0.007768000000000001,0.014753 & 0.000783,0 & 1,0,1
341,c0_52,d2_2,0.009799,0.019233 & 0.000365,0 & 1,0,1
342,c0_52,d2_3,0.00041349999999999997,0.00081 & 1.7e-05,0 & 1,0,1
343,c0_52,d2_4,0.001774,0.003232 & 0.000316,0 & 1,0,1
344,c0_52,d2_5,0.001549,0.00229 & 0.000808,0 & 1,0,1
345,c0_52,d2_6,0.0108585,0.019783 & 0.001934,0 & 1,0,1
346,c0_52,d2_7,0.014218,0.028426 & 1e-05,0 & 1,0,1
347,c0_52,d2_8,0.0047865,0.009232 & 0.000341,0 & 1,0,1
348,c0_52,d2_9,0.0012885000000000001,0.002435 & 0.000142,0 & 1,0,1
349,c0_52,d2_10,0.0023169999999999996,0.003957 & 0.000677,0 & 1,0,1
350,c0_52,d0_1,0.90582,0.90582,0,0,0
351,c0_52,d0_2,0.970053,0.970053,0,0,0
352,c0_52,d0_3,0.762981,0.762981,0,0,0
353,c0_52,d0_4,0.82204,0.82204,0,0,0
354,c0_52,d0_5,0.845304,0.845304,0,0,0
355,c0_52,d0_6,0.915355,0.915355,0,0,0
356,c0_52,d0_7,0.866315,0.866315,0,0,0
357,c0_52,d0_8,0.899987,0.899987,0,0,0
358,c0_52,d0_9,0.733864,0.733864,0,0,0
359,c0_52,d0_10,0.906813,0.906813,0,0,0
360,c0_2,d1_1,0.0061185,0.012237 & 0.0,0 & 2,0,2
361,c0_2,d1_2,0.0063085,0.012617 & 0.0,0 & 2,0,2
362,c0_2,d1_3,0.007342,0.014684 & 0.0,0 & 2,0,2
363,c0_2,d1_4,0.0022275,0.004455 & 0.0,0 & 2,0,2
364,c0_2,d1_5,0.0003035,0.000607 & 0.0,0 & 2,0,2
